amfi_code,scheme_name,fund_house,return_3yr_pct,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,15.65,0.98,1.85,1.45,-0.1297396816518679,11.0,12.0,3.5,22.0,13.0,73.5
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,7.68,7.68,1.85,0.74,-0.0009773140045925555,35.0,1.0,3.5,7.0,1.0,71.0
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,7.37,1.84,1.98,0.56,-0.04308263824636349,36.0,4.0,1.0,2.0,4.0,70.75
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,14.81,1.06,1.62,1.46,-0.11265729075028275,17.0,7.5,12.0,23.0,8.0,68.4375
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,18.23,0.96,1.91,1.56,-0.24003511326274884,7.0,15.0,2.0,33.0,33.0,66.25
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,23.14,0.93,1.13,0.72,-0.5257422117012851,2.0,19.5,22.5,5.5,40.0,65.5
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.18,6.18,1.52,0.6,-0.0011629327956168556,37.0,2.0,14.0,3.0,2.0,64.875
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,23.39,0.94,1.23,1.43,-0.2870600572176455,1.0,18.0,20.0,21.0,36.0,63.625
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,22.38,0.9,1.84,1.53,-0.3544691649336603,3.0,24.5,5.0,28.5,38.0,62.25
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,6.07,1.52,1.6,0.77,-0.04328728923970093,38.0,5.0,13.0,9.0,5.0,59.75
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,18.08,0.95,0.89,1.36,-0.18188513572116294,8.0,17.0,29.5,15.0,25.0,59.25
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,14.41,1.03,0.88,0.8,-0.12588275606922517,20.0,9.0,31.0,12.0,12.0,58.875
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,15.34,0.96,1.79,1.64,-0.21539827112383225,13.0,15.0,8.0,39.5,30.0,57.0625
