amfi_code,scheme_name,fund_house,max_drawdown_pct
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,-33.5
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,-33.15
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,-32.38
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,-32.22
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,-30.87
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,-27.54
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,-26.99
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,-26.75
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,-26.59
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,-25.91
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,-24.78
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,-24.43
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,-24.42
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,-23.61
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,-22.62
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,-21.92
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,-21.89
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,-21.84
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,-21.7
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,-21.7
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,-19.5
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,-18.14
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,-17.86
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,-17.41
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,-17.4
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,-17.07
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,-17.01
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,-16.07
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,-15.07
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,-14.45
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,-13.67
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,-13.43
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,-13.35
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,-12.14
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,-6.01
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,-3.81
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,-3.66
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,-2.62
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,-2.3
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,-2.23
