amfi_code,scheme_name,fund_house,sharpe_ratio
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,7.68
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.18
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,5.14
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,1.84
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,1.52
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,1.33
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,1.06
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,1.06
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,1.03
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,1.0
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,0.98
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,0.98
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,0.98
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,0.96
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,0.96
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,0.96
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,0.95
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,0.94
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,0.93
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,0.93
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,0.92
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,0.91
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,0.91
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,0.9
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,0.9
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,0.88
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,0.88
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,0.87
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,0.87
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,0.87
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,0.85
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,0.84
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,0.82
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,0.82
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,0.81
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,0.81
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,0.8
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,0.8
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,0.8
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,0.8
