amfi_code,scheme_name,fund_house,sortino_ratio
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,10.37
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,9.7
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,8.76
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,2.79
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,2.38
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,2.11
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,1.7
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,1.68
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,1.67
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,1.66
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,1.63
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,1.57
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,1.55
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,1.54
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,1.5
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,1.5
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,1.48
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,1.47
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,1.45
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,1.45
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,1.44
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,1.4
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,1.38
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,1.37
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,1.35
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,1.34
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,1.29
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,1.29
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,1.29
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,1.27
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,1.27
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,1.25
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,1.25
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,1.24
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,1.23
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,1.21
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,1.18
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,1.14
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,1.12
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,1.03
